Classifier,Fold,Repeat,train_auc,train_f1,val_auc,val_mcc,val_kappa,val_f1_binary,val_f1_macro,val_accuracy,val_sensitivity,val_specificity,val_ppv,val_npv,val_balanced_accuracy,per_class_precision,per_class_recall,per_class_f1,per_class_accuracy
Gradient Boosting,26,6,0.9872707003141786,0.9065420560747663,0.8105414746543778,0.45310685590622474,0.44998330246819873,0.5850340136054422,0.7242843446103273,0.7946127946127947,0.5375,0.8894009216589862,0.6417910447761194,0.8391304347826087,0.7134504608294931,"[0.8391304347826087, 0.6417910447761194]","[0.8894009216589862, 0.5375]","[0.8635346756152126, 0.5850340136054422]","[0.8894009216589862, 0.5375]"
Gradient Boosting,27,6,0.985421655775189,0.8857589984350548,0.7723927791192365,0.30326288157204173,0.3017503690537161,0.4689655172413793,0.6502376820342564,0.7441860465116279,0.4358974358974359,0.852017937219731,0.5074626865671642,0.811965811965812,0.6439576865585834,"[0.811965811965812, 0.5074626865671642]","[0.852017937219731, 0.4358974358974359]","[0.8315098468271335, 0.4689655172413793]","[0.852017937219731, 0.4358974358974359]"
Gradient Boosting,28,6,0.9863823191089414,0.8826446280991735,0.8007439428973561,0.4330228592373584,0.40443213296398883,0.5454545454545454,0.6946022727272727,0.7674418604651163,0.42857142857142855,0.9310344827586207,0.75,0.7714285714285715,0.6798029556650246,"[0.7714285714285715, 0.75]","[0.9310344827586207, 0.42857142857142855]","[0.84375, 0.5454545454545454]","[0.9310344827586207, 0.42857142857142855]"
Gradient Boosting,29,6,0.9858772019142654,0.8815165876777251,0.7657805429864254,0.3258398520592547,0.3213698129303516,0.4788732394366197,0.6590018371096142,0.7541528239202658,0.425,0.8733031674208145,0.5483870967741935,0.8075313807531381,0.6491515837104073,"[0.8075313807531381, 0.5483870967741935]","[0.8733031674208145, 0.425]","[0.8391304347826087, 0.4788732394366197]","[0.8733031674208145, 0.425]"
Gradient Boosting,30,6,0.9868103780864198,0.8805237315875614,0.84424090739656,0.44800348493975534,0.4439139470875695,0.5925925925925926,0.7209538305428715,0.78,0.5393258426966292,0.8815165876777251,0.6575342465753424,0.8193832599118943,0.7104212151871772,"[0.8193832599118943, 0.6575342465753424]","[0.8815165876777251, 0.5393258426966292]","[0.8493150684931506, 0.5925925925925926]","[0.8815165876777251, 0.5393258426966292]"
Gradient Boosting,31,7,0.9880449010080797,0.8727858293075684,0.7672901261418008,0.38658607178241605,0.3842549203373945,0.5521472392638037,0.6913868446899065,0.7542087542087542,0.5113636363636364,0.8564593301435407,0.6,0.8063063063063063,0.6839114832535885,"[0.8063063063063063, 0.6]","[0.8564593301435407, 0.5113636363636364]","[0.8306264501160093, 0.5521472392638037]","[0.8564593301435407, 0.5113636363636364]"
Gradient Boosting,32,7,0.9827710726006644,0.8847352024922118,0.8118183973447132,0.4063977725506742,0.4038509627406852,0.5428571428571428,0.7012531328320801,0.785234899328859,0.5,0.8828828828828829,0.59375,0.8376068376068376,0.6914414414414414,"[0.8376068376068376, 0.59375]","[0.8828828828828829, 0.5]","[0.8596491228070176, 0.5428571428571428]","[0.8828828828828829, 0.5]"
Gradient Boosting,33,7,0.9824698237105255,0.8849840255591054,0.8319968816126517,0.4309900319352479,0.41325536062378165,0.5373134328358209,0.7024174001785942,0.7940199335548173,0.43902439024390244,0.9269406392694064,0.6923076923076923,0.8152610441767069,0.6829825147566544,"[0.8152610441767069, 0.6923076923076923]","[0.9269406392694064, 0.43902439024390244]","[0.8675213675213675, 0.5373134328358209]","[0.9269406392694064, 0.43902439024390244]"
Gradient Boosting,34,7,0.9861503605956314,0.8954248366013072,0.8059224318658281,0.43953458853240945,0.4263182132166705,0.5657894736842105,0.7098858872845831,0.7814569536423841,0.4777777777777778,0.910377358490566,0.6935483870967742,0.8041666666666667,0.6940775681341719,"[0.8041666666666667, 0.6935483870967742]","[0.910377358490566, 0.4777777777777778]","[0.8539823008849557, 0.5657894736842105]","[0.910377358490566, 0.4777777777777778]"
Gradient Boosting,35,7,0.986817754944205,0.8752025931928687,0.8040301735506673,0.39630936732798283,0.3884547373224574,0.5419354838709678,0.69190315396221,0.7649006622516556,0.47191011235955055,0.8873239436619719,0.6363636363636364,0.8008474576271186,0.6796170280107612,"[0.8008474576271186, 0.6363636363636364]","[0.8873239436619719, 0.47191011235955055]","[0.8418708240534521, 0.5419354838709678]","[0.8873239436619719, 0.47191011235955055]"
Gradient Boosting,36,8,0.9857852031215222,0.8829953198127926,0.7920102194867031,0.40770666597485106,0.39581517000871846,0.5263157894736842,0.6948281767325037,0.7878787878787878,0.4430379746835443,0.9128440366972477,0.6481481481481481,0.8189300411522634,0.677941005690396,"[0.8189300411522634, 0.6481481481481481]","[0.9128440366972477, 0.4430379746835443]","[0.8633405639913232, 0.5263157894736842]","[0.9128440366972477, 0.4430379746835443]"
Gradient Boosting,37,8,0.9816610309847491,0.8739770867430442,0.8511627906976744,0.45276837033624356,0.44802555982175385,0.5911949685534591,0.722890549153687,0.7854785478547854,0.5340909090909091,0.8883720930232558,0.6619718309859155,0.8232758620689655,0.7112315010570824,"[0.8232758620689655, 0.6619718309859155]","[0.8883720930232558, 0.5340909090909091]","[0.854586129753915, 0.5911949685534591]","[0.8883720930232558, 0.5340909090909091]"
