,AUC,Pos.vs.Neg.,Cutoff-Threshold,Sensitivity,Specificity,Test,p-value
dwi_wavelet2-LH_glrlm_HighGrayLevelRunEmphasis,0.5935299589603283,>,54.98776678770967,0.571764705882353,0.5720930232558139,mann-whitney U-test,1.5808211439636754e-08
adc_squareroot_firstorder_Uniformity,0.5934248974008208,<,0.0863539308219025,0.5665116279069767,0.5694117647058823,mann-whitney U-test,1.640298062364379e-08
dwi_wavelet2-HL_firstorder_Minimum,0.5933942544459644,<,-197.89363088648,0.5562790697674419,0.5576470588235294,mann-whitney U-test,1.6580510778212398e-08
t2_wavelet-HL_gldm_LargeDependenceHighGrayLevelEmphasis,0.5933329685362516,<,1970.3991755451088,0.5702325581395349,0.5694117647058823,mann-whitney U-test,1.6941186467780237e-08
dwi_wavelet2-LH_gldm_HighGrayLevelEmphasis,0.5933307797537619,>,55.19035410991828,0.5741176470588235,0.5702325581395349,mann-whitney U-test,1.6954207658292163e-08
dwi_wavelet2-HL_glcm_SumAverage,0.5933198358413132,>,12.787594824153,0.5647058823529412,0.5655813953488372,mann-whitney U-test,1.701945954031429e-08
dwi_wavelet2-HL_glcm_JointAverage,0.5933198358413132,>,6.393797412076498,0.5647058823529412,0.5655813953488372,mann-whitney U-test,1.701945954031429e-08
t2_logarithm_gldm_SmallDependenceHighGrayLevelEmphasis,0.5932388508891928,<,311.1428181516668,0.5674418604651162,0.5670588235294118,mann-whitney U-test,1.750996147084316e-08
t2_wavelet2-HL_glszm_SmallAreaLowGrayLevelEmphasis,0.593212585499316,>,0.003467123904194,0.5694117647058824,0.5702325581395349,mann-whitney U-test,1.76719710657767e-08
dwi_wavelet2-LH_glcm_Autocorrelation,0.593144733242134,>,54.493131544095306,0.571764705882353,0.5711627906976744,mann-whitney U-test,1.8097262352813122e-08
adc_wavelet2-LH_glszm_ZoneEntropy,0.5930637482900137,<,5.687346028908586,0.5655813953488372,0.5647058823529412,mann-whitney U-test,1.8617888078861708e-08
dwi_wavelet2-LH_glcm_SumAverage,0.5930571819425444,>,14.677809190098008,0.5670588235294117,0.5683720930232559,mann-whitney U-test,1.8660732629314687e-08
dwi_wavelet2-LH_glcm_JointAverage,0.5930571819425444,>,7.338904595049001,0.5670588235294117,0.5683720930232559,mann-whitney U-test,1.8660732629314687e-08
t2_original_glrlm_LowGrayLevelRunEmphasis,0.5930571819425444,>,0.011592656969328,0.571764705882353,0.5711627906976744,mann-whitney U-test,1.8660732629314687e-08
adc_log-sigma-2-mm-3D_glszm_SizeZoneNonUniformity,0.5930309165526676,<,442.8920965451964,0.5832558139534884,0.5811764705882353,mann-whitney U-test,1.8833070201928456e-08
dwi_wavelet2-HL_glcm_Autocorrelation,0.5928142270861834,>,41.44778342669882,0.5670588235294117,0.5730232558139534,mann-whitney U-test,2.0315058604936587e-08
dwi_log-sigma-0-6-mm-3D_glcm_SumEntropy,0.5927967168262653,>,1.5709709592871892,0.5811764705882353,0.5795348837209302,mann-whitney U-test,2.043964055545333e-08
dwi_original_glszm_GrayLevelNonUniformityNormalized,0.5927726402188783,<,0.1315189371405909,0.5730232558139535,0.5741176470588235,mann-whitney U-test,2.0612152482478095e-08
t2_squareroot_glszm_LowGrayLevelZoneEmphasis,0.5927682626538987,>,0.0062519780875891,0.5647058823529412,0.5655813953488372,mann-whitney U-test,2.064366979029035e-08
dwi_wavelet2-LH_glrlm_ShortRunHighGrayLevelEmphasis,0.5927288645690835,>,34.63393150549775,0.571764705882353,0.5720930232558139,mann-whitney U-test,2.092943892203285e-08
dwi_original_firstorder_TotalEnergy,0.5926807113543091,<,10013446560.252115,0.5674418604651162,0.5670588235294118,mann-whitney U-test,2.1283930538114312e-08
adc_logarithm_glrlm_LongRunEmphasis,0.5925515731874145,<,4.982424911205226,0.5767441860465117,0.5764705882352941,mann-whitney U-test,2.226363168600072e-08
dwi_wavelet2-HH_glszm_GrayLevelNonUniformity,0.5925384404924761,<,48.1875,0.5693023255813954,0.5694117647058823,mann-whitney U-test,2.2365557177998112e-08
adc_squareroot_firstorder_InterquartileRange,0.5925099863201094,>,263.2099444741143,0.5623529411764706,0.5627906976744186,mann-whitney U-test,2.2588345244857314e-08
t2_squareroot_glcm_Imc1,0.5924902872777018,<,-0.3528740408598772,0.5767441860465117,0.5764705882352941,mann-whitney U-test,2.27437569190813e-08
t2_wavelet2-LL_glcm_Imc1,0.5924749658002736,<,-0.3227856850698208,0.5702325581395349,0.571764705882353,mann-whitney U-test,2.2865349731460852e-08
adc_original_firstorder_Kurtosis,0.5924311901504788,<,3.964402817148721,0.5479069767441861,0.548235294117647,mann-whitney U-test,2.321624488580546e-08
dwi_wavelet-LH_glcm_ClusterProminence,0.5924246238030095,>,10.22669275216943,0.5764705882352941,0.5758139534883722,mann-whitney U-test,2.326932793387985e-08
dwi_wavelet2-LH_firstorder_Mean,0.5924202462380301,<,-4.083502228982483,0.5627906976744186,0.5623529411764706,mann-whitney U-test,2.330478206088295e-08
dwi_wavelet2-HL_gldm_LowGrayLevelEmphasis,0.5923611491108072,<,0.0272487082445694,0.5618604651162791,0.5623529411764706,mann-whitney U-test,2.3788575092494594e-08
dwi_wavelet2-HL_glszm_HighGrayLevelZoneEmphasis,0.5923370725034199,>,41.062295081967214,0.5623529411764706,0.5609302325581396,mann-whitney U-test,2.3988456870320023e-08
dwi_wavelet2-HL_glrlm_HighGrayLevelRunEmphasis,0.5922057455540356,>,41.7423001210034,0.5694117647058824,0.5683720930232559,mann-whitney U-test,2.5107756136756967e-08
adc_exponential_ngtdm_Coarseness,0.5921991792065664,>,0.0044132913869789,0.5623529411764706,0.5646511627906976,mann-whitney U-test,2.5165031682911728e-08
adc_logarithm_gldm_DependenceEntropy,0.5921729138166895,>,5.325849613125319,0.56,0.56,mann-whitney U-test,2.539540451051796e-08
adc_wavelet2-HH_glszm_LargeAreaEmphasis,0.5921663474692203,<,677.4115755627009,0.5693023255813954,0.5694117647058823,mann-whitney U-test,2.5453316740497803e-08
dwi_wavelet2-LH_firstorder_Variance,0.5921641586867304,>,1316.13861998297,0.571764705882353,0.5693023255813954,mann-whitney U-test,2.5472649282757825e-08
adc_squareroot_glrlm_GrayLevelNonUniformityNormalized,0.5921597811217509,<,0.084306993252673,0.5618604651162791,0.5623529411764706,mann-whitney U-test,2.5511357126612805e-08
dwi_wavelet2-HL_gldm_HighGrayLevelEmphasis,0.5920787961696306,>,41.74388674388674,0.5670588235294117,0.5590697674418605,mann-whitney U-test,2.6237834282159757e-08
adc_log-sigma-3-mm-3D_ngtdm_Busyness,0.5920525307797537,<,0.6935683362801954,0.5702325581395349,0.5694117647058823,mann-whitney U-test,2.6477730611041992e-08
dwi_wavelet2-HL_glrlm_LowGrayLevelRunEmphasis,0.5920196990424077,<,0.0287331962435941,0.5609302325581396,0.5623529411764706,mann-whitney U-test,2.6780595543615958e-08
adc_squareroot_firstorder_RobustMeanAbsoluteDeviation,0.5919737346101231,>,110.63880400467222,0.5552941176470588,0.5525581395348838,mann-whitney U-test,2.7210260296791716e-08
adc_original_glcm_Imc1,0.5918445964432284,<,-0.1915873921348171,0.5665116279069767,0.5670588235294118,mann-whitney U-test,2.845351925675781e-08
dwi_log-sigma-2-mm-3D_glszm_GrayLevelNonUniformity,0.5918259917920656,<,70.81720430107526,0.5553488372093023,0.5552941176470588,mann-whitney U-test,2.863711226653871e-08
t2_wavelet-HL_firstorder_Maximum,0.5917614227086183,<,87.76073931565567,0.5674418604651162,0.5670588235294118,mann-whitney U-test,2.928325867824296e-08
dwi_wavelet-LH_glszm_LargeAreaEmphasis,0.5917154582763338,<,638.8740458015267,0.5655813953488372,0.5670588235294118,mann-whitney U-test,2.9751821128041772e-08
t2_logarithm_glcm_DifferenceEntropy,0.5916016415868673,<,3.023339451015603,0.5674418604651162,0.5670588235294118,mann-whitney U-test,3.0943594178691585e-08
t2_squareroot_gldm_LowGrayLevelEmphasis,0.5915250341997265,>,0.0090665638866655,0.5647058823529412,0.5637209302325581,mann-whitney U-test,3.17716898554084e-08
dwi_wavelet2-LH_gldm_SmallDependenceHighGrayLevelEmphasis,0.5915228454172367,>,6.675261256252727,0.571764705882353,0.5711627906976744,mann-whitney U-test,3.179566283981944e-08
adc_wavelet2-HH_glszm_GrayLevelNonUniformity,0.5914703146374829,<,114.18648648648649,0.5683720930232559,0.5694117647058823,mann-whitney U-test,3.2376307283754284e-08
dwi_squareroot_ngtdm_Busyness,0.5914046511627906,<,1.4035193901031249,0.5627906976744186,0.5623529411764706,mann-whitney U-test,3.31165903162578e-08
